Neighboorhood,x_coord,y_coord
UNIVERSITY OF TEXAS,324,356
GATEWAY,309,15
WEST UNIVERSITY,285,336
NORTH BURNETT,368,14
HANCOCK,353,300
NORTH UNIVERSITY,310,311
TRIANGLE STATE,329,274
PLEASANT VALLEY,392,556
HYDE PARK,361,263
DOWNTOWN,294,416
OLD WEST AUSTIN,238,395
BARTON HILLS,153,478
BRENTWOOD,334,220
NORTH LOOP,386,267
GEORGIAN ACRES,419,154
HIGHLAND,384,198
NORTH SHOAL CREEK,311,85
NORTH AUSTIN,410,91
PARKER LANE,334,585
WINDSOR HILLS,487,103
UPPER BOGGY CREEK,374,338
ROSEDALE,281,249
NORTH LAMAR,453,84
CRESTVIEW,349,144
SWEET BRIAR,204,660
DAWSON,258,557
HERITAGE HILLS,445,171
ZILKER,220,469
SOUTH LAMAR,189,519
WINDSOR ROAD,263,336
ALLANDALE,294,174
WEST GATE,135,573
CHESTNUT,384,383
SOUTH RIVER CITY,304,489
GARRISON PARK,127,625
WINDSOR PARK,451,283
EAST CONGRESS,242,618
CENTRAL EAST AUSTIN,350,418
WOOTEN,366,108
GALINDO,235,546
SOUTH MANCHACA,185,594
UNIVERSITY HILLS,505,281
PECAN SPRINGS SPRINGDALE,499,320
MCKINNEY,336,657
JOHNSTON TERRACE,469,440
ROSEWOOD,403,401
CORONADO HILLS,477,216
MONTOPOLIS,432,557
FRANKLIN PARK,275,721
GOVALLE,409,452
